,Vec_Gram,Classifier,Ac,crossval_train_score_mean,crossval_test_score_mean,crossval_train_score_std,crossval_test_score_std,Time.2
38,tf_2,LogisticRegression(),0.7916018662519441,0.9975730733908652,0.7860649776994938,0.00017711665938863812,0.0067670096415486086,39.42380738258362
39,tf_2,LinearSVC(),0.7962674961119751,1.0,0.8010011012411689,0.0,0.00739003779641438,99.42700457572937
40,tf_2,AdaBoostClassifier(),0.7200622083981337,0.7365103763497262,0.727529688061145,0.003357719552692139,0.007379672588712613,73.78030705451965
41,tf_2,RidgeClassifier(),0.7698289269051322,0.9999904076738609,0.7766555499425537,2.8776978417255347e-05,0.010438703421563176,159.5416784286499
42,tf_2,PassiveAggressiveClassifier(),0.7884914463452566,0.9999232586302409,0.8008281661428693,5.755794459839838e-05,0.00939310035457604,24.04757523536682
43,tf_2,Perceptron(),0.8102643856920684,0.9998465181806973,0.7958213932861543,0.0001435703257430955,0.008228087598846643,24.891188383102417
44,tf_2,RandomForest Classifier,0.6765163297045101,0.9889301436824447,0.6959338271781551,0.0008197193126648761,0.013691244707188766,82.79213285446167
45,tf_3,MultinomialNB(),0.7107309486780715,0.9909158085657337,0.7220087294597659,0.0006157478703939275,0.012523288108577104,34.944395780563354
46,tf_3,BernoulliNB(),0.5303265940902022,0.7375559877500916,0.5346592932684212,0.0007792633255827495,0.015448928480277877,36.028205156326294
47,tf_3,LogisticRegression(),0.7791601866251944,0.9986282577928449,0.7709562916038928,0.00011390575541862909,0.006848132778970643,62.33833861351013
48,tf_3,LinearSVC(),0.7791601866251944,1.0,0.7828712292921209,0.0,0.010432693142949416,162.1228847503662
49,tf_3,AdaBoostClassifier(),0.7200622083981337,0.7365103763497262,0.727529688061145,0.003357719552692139,0.007379672588712613,124.07742285728455
50,tf_3,RidgeClassifier(),0.76049766718507,1.0,0.763273308983833,0.0,0.011772035458521533,293.3061547279358
51,tf_3,PassiveAggressiveClassifier(),0.7807153965785381,0.9999232595504564,0.7821800849699208,3.837022493734035e-05,0.008865693180941506,37.9128692150116
52,tf_3,Perceptron(),0.7822706065318819,0.9999232577100254,0.7949597726585214,7.17882985544922e-05,0.011012478836880276,38.36098337173462
53,tf_3,RandomForest Classifier,0.6967340590979783,0.9884601049781816,0.6875574649696526,0.0009838439662976037,0.012754683368657501,127.4649510383606
